SEED 126
INIT_TIME 0
FIN_TIME 10000
ARRIVE_MIN 20
ARRIVE_MAX 80
QUIT_PROB 0.200000
NETWORK_PROB 0.500000
CPU_MIN 5
CPU_MAX 50
DISK1_MIN 50
DISK1_MAX 200
DISK2_MIN 50
DISK2_MAX 200
NETWORK_MIN 300
NETWORK_MAX 500
At time 0, simulations STARTS.
At time 2759, process 59, exits the SYSTEM.
At time 2759, process 60, arrives at cpu.
At time 2775, process 11, exits the network.
At time 2775, process 18, arrives at network.
At time 2777, process 60, exits the cpu.
At time 2777, process 60, arrives at disk2.
At time 2777, process 11, arrives at cpu.
At time 2782, process 61, arrival.
At time 2820, process 11, exits the cpu.
At time 2820, process 61, arrives at cpu.
At time 2822, process 62, arrival.
At time 2836, process 61, exits the cpu.
At time 2836, process 61, exits the SYSTEM.
At time 2836, process 62, arrives at cpu.
At time 2865, process 62, exits the cpu.
At time 2865, process 62, exits the SYSTEM.
At time 2885, process 63, arrival.
At time 2885, process 63, arrives at cpu.
At time 2901, process 58, exits the disk1.
At time 2924, process 63, exits the cpu.
At time 2924, process 63, exits the SYSTEM.
At time 2924, process 58, arrives at cpu.
At time 2928, process 64, arrival.
At time 2968, process 60, exits the disk2.
At time 2968, process 58, exits the cpu.
At time 2968, process 58, exits the SYSTEM.
At time 2968, process 64, arrives at cpu.
At time 2977, process 65, arrival.
At time 2998, process 64, exits the cpu.
At time 2998, process 64, exits the SYSTEM.
At time 2998, process 60, arrives at cpu.
At time 3008, process 66, arrival.
At time 3011, process 60, exits the cpu.
At time 3011, process 60, arrives at disk1.
At time 3011, process 65, arrives at cpu.
At time 3039, process 65, exits the cpu.
At time 3039, process 65, exits the SYSTEM.
At time 3039, process 66, arrives at cpu.
At time 3050, process 67, arrival.
At time 3084, process 18, exits the network.
At time 3084, process 20, arrives at network.
At time 3088, process 66, exits the cpu.
At time 3088, process 67, arrives at cpu.
At time 3092, process 68, arrival.
At time 3105, process 67, exits the cpu.
At time 3105, process 18, arrives at cpu.
At time 3140, process 69, arrival.
At time 3143, process 60, exits the disk1.
At time 3145, process 18, exits the cpu.
At time 3145, process 68, arrives at cpu.
At time 3154, process 68, exits the cpu.
At time 3154, process 68, arrives at disk1.
At time 3154, process 69, arrives at cpu.
At time 3179, process 69, exits the cpu.
At time 3179, process 69, exits the SYSTEM.
At time 3179, process 60, arrives at cpu.
At time 3190, process 70, arrival.
At time 3200, process 60, exits the cpu.
At time 3200, process 70, arrives at cpu.
At time 3229, process 71, arrival.
